,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_0,xi_J_0,v_calculable_0,vwf_1,xi_J_1,v_calculable_1,isEWSB
0,375.6962103947062,0.20883175466967688,337.3216875270176,-978.2190694148103,71.22545676073932,0.17356883615088614,0.31589932123622005,2.5934751776743155,-171903.24878091787,2630.3307529870945,0.5293473657239497,0.5112206932547743,-5.149419411252813,True,4.195222280508452e-05,259.1209247057811,-2.2987812639564793e-05,243.39952048341544,862.3447018980482,12.462684166906454,7.43162288718238e-08,1.0,7.43162288718238e-08,12.462684166906454,s-SNR,,,,,,,,,,,,,,,0.15035762622104362,0.5775728114370422,True,,,,True
1,377.52654119264014,0.2107646770772013,337.93777993367456,-954.4835581116788,74.9243399436303,0.17488177682772646,0.3357738136070055,2.5124580710624813,-168491.8967983646,3571.079700330535,0.5266281232868768,0.5026864652454982,-4.5250421772147265,True,-6.185308681923627e-06,256.7069586570448,-1.4720777978273882e-05,242.2259055852088,743.3150150812869,4.373399410124762,2.539484259260665e-07,1.0,2.539484259260665e-07,4.373399410124762,s-SNR,,,,,,,,,,,,,,,0.08812303639071027,0.577761582083384,True,,,,True
2,382.87762625171655,0.2127888217806264,320.21918777369626,-910.3825462544127,70.03913364857839,0.17724944717675253,0.375557302238874,2.500134175989486,-152595.79404595142,5690.641809522115,0.5272984628333484,0.5105783548912995,-3.9836807628653848,True,1.0646875879918747e-05,235.5602584079112,3.038392702050912e-05,219.65573912202308,799.9369127715926,24.504815756812487,2.824699878573149e-07,1.0,2.824699878573149e-07,24.504815756812487,s-SNR,,,,,,,,,,,,,,,0.09032374293550784,0.5777840569076467,True,,,,True
3,385.56775734607436,0.2109451953511593,330.79809756300006,-943.0733823131717,73.0683764502544,0.17717823569968974,0.3682753368676705,2.516509345028097,-163539.80730812627,5993.975166759221,0.5279451558047591,0.5114870583882671,-4.121792296427787,True,1.6845473555935675e-05,246.19140091773826,-1.6143662531179195e-05,229.62003209477245,833.4705561456972,24.50577931029648,2.9953550638665826e-07,1.0,2.9953550638665826e-07,24.50577931029648,s-SNR,,,,,,,,,,,,,,,0.08693958285137883,0.5777969633720499,True,,,,True
4,428.55788128795336,-0.2367488999744365,78.31446442066772,-181.3839636454557,380.3670295481228,0.20531480620471448,10.925292698354301,4.3028931912463815,11435.210205699597,97432.52014837236,0.6164461013163667,3.448472039796305,-0.21835553212094447,True,89.21055279538527,105.4772195911101,-0.0003686878018286729,110.23285565801615,134.0118209770196,0.4492977008977732,0.001012385032841492,1.0,0.001012385032841492,0.4492977008977732,noneSNR,,,,,,,,,,,,,,,0.08522002614836482,0.6027390705161771,True,,,,True
6,940.4386051752343,-0.18379362470176552,-217.25057470924992,369.7465585174671,-546.0832062441001,0.3684429004674532,9.772299377953257,-1.2166006039410648,-86705.13567148018,254141.53176227442,0.4680312403149258,2.2403080771648027,0.3305777836647236,True,94.39053416080118,-195.10807171908613,-1.8463675618974865e-05,-190.16256931222526,139.48136397867606,1.2740645693816928,0.0011129655032004896,1.0,0.0011129655032004896,1.2740645693816928,noneSNR,,,,,,,,,,,,,,,0.07537207822545856,0.6039400872945759,True,,,,True
7,344.76520343814315,-0.00307280339638466,209.79493119935609,-716.5277510235959,333.2073284154144,0.12908213513559028,0.9685215455343325,3.4215124457494457,-67202.57306686939,-27090.687997919904,0.5416055680527656,0.8123824606751574,-2.8927265872402637,True,88.22837242402106,204.39172488493827,-0.00016332400617911468,194.70825657866953,143.8705476829903,2.586508003906772,0.0011257688167056537,1.0,0.0011257688167056537,2.586508003906772,noneSNR,,,,,,,,,,,,,,,0.08951302446966006,0.604088809845843,True,,,,True
8,688.0127149951409,-0.04280038403190087,-148.94716184847528,920.8990806426744,-956.743638897994,0.13598632661367013,9.638081485097619,5.649153673941584,-66258.6062666449,55148.05478309278,0.6378760482998113,3.3510459835980018,-0.6917960821870701,True,95.09576247348564,-140.384516115182,6.4784026494591735e-06,-136.3009021763201,145.42144758884106,2.024255477735835,0.001134361629712539,1.0,0.001134361629712539,2.024255477735835,noneSNR,,,,,,,,,,,,,,,0.08347068755247057,0.6041881254312781,True,,,,True
11,611.1438566183018,0.17034130694266206,336.0892064880984,-871.4140008427709,463.60834865240685,0.21390018546235254,1.9496381260817743,1.8702958473577957,-174276.87358665135,42512.20966173699,0.5193805682831613,0.7991255060800764,-0.2346454330614588,True,102.34157355354576,314.32626522387005,-1.1387687288703195e-05,307.75576364952394,136.78268324825822,1.5124577044347802,0.001405534963882986,1.0,0.001405534963882986,1.5124577044347802,noneSNR,,,,,,,,,,,,,,,0.08715847628815554,0.607140000612493,True,,,,True
14,430.08044892815917,0.08603440265534051,92.54666751520449,-205.73367591449718,682.1549127513338,0.1393869526868272,10.477454118514034,1.5868306429417978,-3795.5925053488418,7325.710956149313,0.4703129017113987,2.8838353034521416,0.07930481200415823,True,104.72926555527376,76.16257766248167,-1.2935186784960695e-06,63.22896443981759,144.88534868135676,4.2707988475771685,0.001517699915936817,1.0,0.001517699915936817,4.2707988475771685,hs-SNR,,,,,,,,,,,,,,,0.11493379346238496,0.608272084213908,True,,,,True
