,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,num_FOPT,Tc_0,Tmin_0,Tnuc_0,action_Tn_0,h_low_Tnuc_0,s_low_Tnuc_0,h_high_Tnuc_0,s_high_Tnuc_0,Delta_rho_Tnuc_0,Delta_p_Tnuc_0,alpha_Tnuc_0,beta_Tnuc_0,vwall_0,xi_Jouguet_0,f_peak_Tnuc_0,Omega_peak_Tnuc_0,SNR_Tnuc_0,Tp_0,volume_shrinks_0,action_Tp_0,s_low_Tp_0,h_low_Tp_0,s_high_Tp_0,h_high_Tp_0,Delta_rho_Tp_0,Delta_p_Tp_0,alpha_Tp_0,beta_Tp_0,vwall_Tp_0,xi_Jouguet_Tp_0,f_peak_Tp_0,Omega_peak_Tp_0,SNR_Tp_0,Tc_1,Tmin_1,Tnuc_1,action_Tn_1,h_low_Tnuc_1,s_low_Tnuc_1,h_high_Tnuc_1,s_high_Tnuc_1,Delta_rho_Tnuc_1,Delta_p_Tnuc_1,alpha_Tnuc_1,beta_Tnuc_1,vwall_1,xi_Jouguet_1,f_peak_Tnuc_1,Omega_peak_Tnuc_1,SNR_Tnuc_1,Tp_1,volume_shrinks_1,action_Tp_1,s_low_Tp_1,h_low_Tp_1,s_high_Tp_1,h_high_Tp_1,Delta_rho_Tp_1,Delta_p_Tp_1,alpha_Tp_1,beta_Tp_1,vwall_Tp_1,xi_Jouguet_Tp_1,f_peak_Tp_1,Omega_peak_Tp_1,SNR_Tp_1
0,428.55788128795336,-0.2367488999744365,78.31446442066772,-181.3839636454557,380.3670295481228,0.20531480620471448,10.925292698354301,4.3028931912463815,11435.2102056996,97432.52014837236,0.6164461013163667,3.448472039796305,-0.21835553212094447,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,139.84954814016578,-0.020049654691613992,101.32196700863115,-122.11791251479464,548.8240367599903,0.12908706094612316,1.8817486806916808,1.2083882589719634,1654.0549312761268,-36194.40563706112,0.44939452317563694,0.6718352133349141,-0.06490831678473323,True,1.0,121.42253295798277,98.02339917993216,111.74774754786051,16800.018483653268,200.81814961407974,100.67813215319323,-4.22117202895045e-06,5.494398359933092,45821151.06820613,11456361.788529694,0.008699149033454956,3033.643034537588,0.5000234388765855,0.6483593469342478,0.03032081498738692,3.8147948225838544e-19,4.94911994803794e-07,110.3960963010721,True,13179.958839476047,100.73409149431644,202.80845288851086,5.317833208144345,-6.89095868116156e-06,47273042.31811196,13121470.730647027,0.009431491564363756,2134.9303284464204,0.5268469638519064,0.651063473739063,0.021094152481851442,9.38339932897378e-19,2.8863383823843225e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,139.96696825673064,-0.018489188513977985,94.18664933625824,-119.55028620816893,565.5448153690368,0.12908521422256444,1.9381695063522948,1.2724345784716968,2208.350131985817,-35977.76068970645,0.4520621964596798,0.6966148063333565,-0.07975742714393172,True,1.0,114.96148530842285,84.61123687871492,101.80761311711521,15345.028074450483,213.68240579412884,94.8479221786082,-8.653628800731069e-07,193.91544155583992,47335057.30316499,15990078.160479605,0.013142439099076,1973.464550169933,0.5812110194597904,0.6631564651569124,0.017952587971169217,3.047189464093483e-18,1.3395909123716561e-05,99.99753801593128,True,12087.212573745515,94.78235573939577,215.73496476479937,194.09431894639243,1.6569320402033366e-07,48894812.81454158,18209072.78894919,0.014607302414189387,1400.1669426745118,0.6102566519851973,0.6673595273847687,0.01248959265327227,7.961067175247611e-18,7.375149968618699e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,183.41813946851283,0.21279691896655528,-157.6453713490407,102.90902126482088,-653.641772541437,0.13569479876356452,2.3358020747296724,0.7484965018202042,1302.7745151001382,-42093.4435779689,0.4335362355363676,0.7086999356524522,0.07573177585826105,True,1.0,135.26214586651054,88.63416748384769,104.43156834637884,15728.296463274706,214.72051994883915,-158.46121182260268,-4.143566929788733e-06,-3.4298847527928564,74534323.226839,39550288.781335294,0.01865252101346927,883.1086898898787,0.7284448432788572,0.6777697769776909,0.008250081315406305,3.926373957563737e-17,0.0007511931476833168,101.08635754723778,True,12646.07200402619,-158.39558733590457,218.1494549510299,-3.100268340506112,-1.0146475581597999e-05,77463236.94045061,44007971.46036205,0.02214091681333288,689.4444938655223,0.7537335636010195,0.6856633114213003,0.006257461685508218,1.0454537629857284e-16,0.0029355547952908106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,188.5115215577229,0.22521122932548304,-171.01534052929296,98.98228738601378,-699.3222852874161,0.13725561361708646,2.335308619703833,0.6816162564112987,1359.5411661922935,-48179.50521325066,0.4315299660710909,0.6974298643278415,0.08751906947425334,True,2.0,129.78071986562188,88.82670932214275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.03130654629604,88.82670932214275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,159.6313900601844,0.2264194787012579,-152.12066850699745,111.20105723684813,-708.7881543291268,0.13316243768080782,2.390877267828715,0.7884505016571607,278.2348129375186,-50753.76363236295,0.4339348049881958,0.7291277339000388,0.06815970814630665,True,2.0,99.69525950035818,67.94969349106921,68.48866467813072,10433.000163387138,239.33718138854505,-151.95807306157462,-4.512440916473821e-05,-1.5764388503838114,49046718.50186369,34111802.33053429,0.06953156661141026,2270.8598002920317,0.8339640988925078,0.7513571292432062,0.0140143605554534,3.169740910874477e-16,0.002356717231911744,68.21917908459997,False,9677.94940518028,-151.96139067630156,239.4411682431974,-1.5679379970251073,0.00012362729498732402,49139599.2078641,34344693.69124614,0.07080763155153673,3380.7128453641276,0.8360149017933906,0.7525764628026627,0.02073281770638504,1.5188555742697239e-16,0.0004836905212627925,68.18416376437304,67.94969349106921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,940.4386051752343,-0.18379362470176552,-217.25057470924992,369.7465585174671,-546.0832062441001,0.3684429004674532,9.772299377953257,-1.2166006039410646,-86705.13567148018,254141.53176227442,0.4680312403149258,2.2403080771648027,0.3305777836647237,True,1.0,139.71003143091548,138.56528639852942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,430.08044892815917,0.08603440265534051,92.54666751520449,-205.73367591449718,682.1549127513338,0.1393869526868272,10.477454118514034,1.586830642941797,-3795.5925053488395,7325.710956149298,0.4703129017113986,2.8838353034521416,0.07930481200415826,True,1.0,145.45349187198224,141.9046063044498,144.90652832546718,21629.60656701339,104.50440983251684,76.1299686058137,6.301385447798002e-06,63.227625673651616,22809179.49778867,290611.1228026152,0.001510584282970446,65877.11577170224,0.11287591523518338,0.6082016105025704,0.8510694130335373,4.868409449411934e-24,4.596299368705597e-16,144.9057605804169,True,21578.86187835096,76.13115167789631,104.5125576700828,63.2276750973445,-2.246562206909144e-05,22812603.214485884,291043.1770349741,0.0015108417670773662,65621.37352944362,0.11295131407961816,0.6082041637072385,0.8510694130335373,4.908216778316136e-24,4.68820961619834e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,601.6808166743235,-0.18484019623457265,286.28647159000576,-933.220892702312,215.57621681606238,0.22558541108734054,1.9109492864799569,4.1475410221382445,-83528.66864721829,121811.37121380474,0.6201083967115073,1.1689941586430301,-2.024879403968857,True,1.0,134.78501270210353,133.78208505348402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,496.7968492584466,0.13588322072764664,171.4000429852031,-438.37151253244383,228.83227471502826,0.1640656223876586,3.476643001697304,1.8223688697698017,-38423.3969599959,40632.27573045867,0.4924663293463146,1.1728888953859595,-0.0747443658599651,True,1.0,138.82084861716504,136.6766075758259,138.36935123946432,20680.154242701952,112.34161987575014,152.19007246226082,-0.0001322822049836843,142.35579039260148,22277492.35939467,262678.36532509327,0.0017775146800897317,76285.30001039327,0.10858729154027798,0.6107345120213323,0.9440336908281683,5.97562492350641e-24,4.1770735323350167e-16,138.2802594676939,True,15293.272723541335,152.35888707177617,113.53281127450278,142.35909890090696,-0.00017625652967310658,22749753.133999586,318134.9653403759,0.0018199223229312844,47003.13989286278,0.11825441330253965,0.6111177850686496,0.5819456701030159,1.6590532191308382e-23,4.951672563744352e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
