,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_0,xi_J_0,v_calculable_0,vwf_1,xi_J_1,v_calculable_1,isEWSB,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN
15,892.4840403229259,0.2222712351440688,194.45957946687776,-584.0635200133602,142.2865328119443,0.4421005378364586,9.192505458515676,-0.5036001064111207,-96300.7701331221,213650.1712664729,0.5345684130631762,2.214193013560399,0.4352032597134863,True,234.1854139010095,191.83690894413053,-8.61715722625968e-06,153.40388134312587,79.26104415304283,116.43085443225048,0.03700650773315214,1.0,0.03700650773315214,116.43085443225048,hs-SNR,,,,,,,,,,,,,,,0.7422749529623254,0.7123590005997079,False,,,,True,0.7050267110595171,0.03602353548716557,0.0,217.90677260515625,0.030915271673968743,0.32989369538627017,154.0124402797293,188.39242331230588,Hybrid,0.015801182567194448,0.5773502691896258,0.4661396391522021,0.7062667303165148,1.237078191187395
14,801.7361286201099,-0.21551273568129184,-208.9674490169501,695.0234095967895,-608.9375847368879,0.3656472756818088,7.334396513828036,0.7795431190155416,-106053.45550670213,115850.16253005508,0.5498060830452954,1.963522981626266,0.34493366027872946,True,234.06928989454389,-206.39637771309413,-4.084574203216244e-05,-167.59773438334398,79.25668899172724,115.77735758830036,0.037014204169882166,1.0,0.037014204169882166,115.77735758830036,hs-SNR,,,,,,,,,,,,,,,0.7417386441092769,0.7123707455078245,False,,,,True,0.7120707122638906,0.05393876763745693,0.0,216.64920812811587,0.053938761409065256,0.2493123214270253,-168.13712305685885,-202.7798123571335,Hybrid,0.015350687079412178,0.5773502691896258,0.4678482206151954,0.7121205335293499,1.2461208434888325
13,761.7512674686226,-0.2245451503807153,-216.54854986361,690.8552456939685,-623.0091599529471,0.3599848529153987,6.296153309907299,0.8914180698425475,-106882.66525421664,90662.73760653671,0.5516363279465489,1.7226080057839162,0.3284328029521525,True,234.2093706932,-213.898728408721,7.368581708744733e-06,-173.33499507426532,79.0300533644999,115.37782622440884,0.03750430071676001,1.0,0.03750430071676001,115.37782622440884,hs-SNR,,,,,,,,,,,,,,,0.7435290128742559,0.713115196626398,False,,,,True,0.7103028472457901,0.05275123273730641,0.0,217.0918517027576,0.05275122647757504,0.2479992737715079,-173.80296436969158,-210.18833350123074,Hybrid,0.015641112017232863,0.5773502691896258,0.4667442440239266,0.7107722790547287,1.244380925076382
12,935.5545396472479,0.2309153068452212,205.1270189916852,-569.9703006398739,153.83477563248363,0.5004984108216303,9.239924302626408,-1.013621626211954,-107904.00397415113,242301.1536206707,0.5425164528973939,2.141044137954609,0.4726997847865522,True,234.54746386187318,202.4820845327436,-5.240839933973225e-05,164.0376538810999,78.69344116255878,115.80144954291508,0.03768529935170868,1.0,0.03768529935170868,115.80144954291508,hs-SNR,,,,,,,,,,,,,,,0.7437484175777095,0.7133884318145088,False,,,,True,0.7040435694450928,0.0363070612765883,0.0,218.80101979508183,0.031055717014865637,0.3533625919689473,164.55529075948198,199.0191572254138,Hybrid,0.01611654031467747,0.5773502691896258,0.4649563379575298,0.705633859405251,1.2365878734851383
11,863.2485359676152,0.2446158276509263,207.14973892763282,-561.3949132742401,147.28176131063896,0.4820448874260715,7.582922542184358,-0.6511713093900451,-101045.13951066128,193010.96371217526,0.5483917877338607,1.7872020839810818,0.4680653145168842,True,234.5902411901497,204.35375430494514,-4.327131783682936e-05,163.29823601201142,78.64644825937515,115.38382725898413,0.03791905351858647,1.0,0.03791905351858647,115.38382725898413,hs-SNR,,,,,,,,,,,,,,,0.7448580480929043,0.7137399665451923,False,,,,True,0.7008949279811689,0.036072325149548216,0.0,219.14611342631855,0.03087972478682197,0.3485122900267422,163.7533719967639,200.74485915039352,Hybrid,0.016409898917622175,0.5773502691896258,0.4638647046932778,0.703116176985227,1.2329285428407248
10,891.6769101951767,0.23052350098650665,200.04684602210918,-576.582129429844,136.93336784222242,0.4647347918531227,8.676391026010013,-0.6380818498354471,-99941.41332460736,213134.11986367288,0.5402821340954945,2.0627507815299286,0.453003288343516,True,234.58883810203616,197.41543030417503,-7.395048493042457e-05,158.16007223780198,78.59292202705234,115.91293228095884,0.03812731124408498,1.0,0.03812731124408498,115.91293228095884,hs-SNR,,,,,,,,,,,,,,,0.7463082098262297,0.71405189626388,False,,,,True,0.7062471867395089,0.03608608719278434,0.0,218.59710609860318,0.030923530697462807,0.3401171461464157,158.7050310523232,193.900867118844,Hybrid,0.01613463872332714,0.5773502691896258,0.464888739056359,0.7075636687755338,1.239850124750569
9,726.7777868625348,-0.2301705701782801,-221.16089818463826,694.0226171970369,-584.8641574031653,0.3491405647360793,5.4768594479596135,1.0471176487928988,-106719.3215389694,75164.31591471916,0.552701666313154,1.5437344701220532,0.2990911075228744,True,234.4136983864746,-218.4898618772237,-3.3735834507622014e-06,-176.45061955871842,78.68442891604373,115.12814730071008,0.03831156579092849,1.0,0.03831156579092849,115.12814730071008,hs-SNR,,,,,,,,,,,,,,,0.7468108011415421,0.7143268907817477,False,,,,True,0.7106405405495816,0.05058911777747597,0.0,217.42692783293919,0.05058911139901568,0.2432815653319047,-176.87035838900437,-214.7093123919677,Hybrid,0.015910961894723376,0.5773502691896258,0.4657265491718649,0.7112535937524055,1.2456854015341985
8,397.899711604054,0.19030442007877788,304.8899563965998,-933.1139260586584,73.205833205016,0.17118509232652174,0.4452756487105343,2.7074459146783254,-148281.55203871307,8372.249129106116,0.5329042745202679,0.5625598979573545,-3.94439106939259,True,232.50265095894585,302.33443664692436,-2.6385545745962762e-06,239.55171641453973,81.70629072389086,119.23608916157193,0.03832789639934573,1.0,0.03832789639934573,119.23608916157193,hs-SNR,,,,,,,,,,,,,,,0.7508107225247268,0.7143512194516484,False,,,,True,0.7039213485679976,0.03478047293494665,0.0,213.3900499229304,0.03478046215713266,0.007119366774591456,239.66674473581062,298.6336402044641,Hybrid,0.016362109402903384,0.5773502691896258,0.4640419476344579,0.7057006006910067,1.2371368407178982
7,847.6083994314627,0.24400523882473785,205.36594399777854,-566.0436305207387,144.46518940096732,0.4674372478878307,7.3924301976093245,-0.5023438041892426,-98505.85541966606,183349.3050147079,0.5472891140147736,1.7643835820374572,0.4589032039110297,True,234.731132380672,202.61072671593917,2.2491457358473707e-05,161.24250552279454,78.38314565296308,115.39302131918656,0.03853811006673572,1.0,0.03853811006673572,115.39302131918656,hs-SNR,,,,,,,,,,,,,,,0.7476532432314722,0.7146637468058649,False,,,,True,0.7035260195920617,0.0361027615836828,0.0,219.13299200973103,0.030926225921829482,0.3430333283986877,161.70816738619698,198.9728215815254,Hybrid,0.016465925688124716,0.5773502691896258,0.463657200243213,0.7054308504833778,1.2368710527009166
6,823.9806356547361,0.2387775265024717,197.65146469110016,-563.2280902863453,137.12076447421043,0.4351429206760803,7.456314779227751,-0.2828056664260106,-90470.96997743667,169252.4492756923,0.5402893728156998,1.8169444170692688,0.43246133307782497,True,234.705586892808,194.9509965980233,-2.2503108059422197e-05,153.3559187018494,78.40664894086459,115.80511489235344,0.03882297737415205,1.0,0.03882297737415205,115.80511489235344,hs-SNR,,,,,,,,,,,,,,,0.7497420414768622,0.7150853791050583,False,,,,True,0.7073478363952491,0.03617311443703432,0.0,218.6437300769,0.031064077520777462,0.32643227958583704,153.88462905796086,191.28433156597504,Hybrid,0.016315663400304155,0.5773502691896258,0.4642144261979397,0.7086489094210187,1.2419982485448389
5,392.4085522758998,0.20480055785056545,326.0396553205034,-938.284119926564,72.01130645739367,0.17627105269092427,0.3975593407816772,2.534660679763875,-160513.6915454526,8382.486458071828,0.5282478699143671,0.5218332818227318,-3.863694873470736,True,232.9098770642894,323.38818449004617,3.863531494579592e-06,259.6148132985855,81.09423779334554,118.68371470369514,0.039153568603191705,1.0,0.039153568603191705,118.68371470369514,hs-SNR,,,,,,,,,,,,,,,0.7535059524622739,0.7155719992851985,False,,,,True,0.7062676567624144,0.035165646668423235,0.0,213.95204273136216,0.035165636092719534,0.02863184819543325,259.7335547907105,319.4807245456982,Hybrid,0.01650879372274789,0.5773502691896258,0.46349864110024697,0.7078413415090807,1.2409812860129863
4,855.6904542685129,0.2355430978249901,202.99646524616028,-593.9203415797696,142.6157417202366,0.4509881032185992,7.686204103788704,-0.32781544484558073,-99981.57676497527,189172.22667931207,0.5463365566528106,1.8669151184729125,0.4474927834083193,True,234.95183690774985,200.3893075973557,-1.3238584279081925e-05,160.05722664089825,77.92121755958372,115.43599195749592,0.0394626655289028,1.0,0.0394626655289028,115.43599195749592,hs-SNR,,,,,,,,,,,,,,,0.7514184974701447,0.7160243994997033,False,,,,True,0.7083804704254906,0.03622288118775078,0.0,219.06004499071582,0.03102721111984848,0.3387343221328782,160.55380203896175,196.81278452367943,Hybrid,0.016478196902691984,0.5773502691896258,0.4636117932642066,0.7096619815889129,1.2439965075214363
3,399.17436793043083,0.20876554050803767,336.3280740210671,-976.3360130634904,73.18149514719914,0.17998697547255596,0.3969418056788806,2.5510840054467883,-173174.46060188985,9624.30755905161,0.5307901365419709,0.5244161189941846,-3.9188692735661967,True,233.38384502092248,333.72187129772163,2.923315574356712e-06,271.198238824238,80.33024074836362,118.13852435451088,0.04024346356778733,1.0,0.04024346356778733,118.13852435451088,hs-SNR,,,,,,,,,,,,,,,0.757196366322035,0.7171562835621379,False,,,,True,0.709683641125792,0.03570521909605713,0.0,214.54076218285104,0.035705208650749914,0.0461344140006155,271.32466249522,329.77645435062226,Hybrid,0.016669795825181664,0.5773502691896258,0.4629047422649464,0.7109312803652289,1.246485263651493
2,885.8169172462979,0.2363790128442581,204.1969467113801,-575.3476731790042,150.70667468776506,0.4769688091914777,8.248634285130366,-0.6650545061285225,-102438.22793639878,207614.528426433,0.5452752820857939,1.951316153594505,0.4635636356550787,True,235.25293964587337,201.6504298272274,-9.812944861793038e-06,161.56833494038096,77.42373387502839,115.48403439373571,0.040439814326609966,1.0,0.040439814326609966,115.48403439373571,hs-SNR,,,,,,,,,,,,,,,0.7550864862292974,0.7174385044723522,False,,,,True,0.7132732126534951,0.03655599727248588,0.0,219.21092676224617,0.03129697878206108,0.3450470933666641,162.08860349417606,198.0279263597617,Hybrid,0.016493002074884574,0.5773502691896258,0.4635570297241306,0.7139606709463928,1.251346545178708
1,395.49154985818603,0.1949254450859251,312.18501487248705,-938.3188384902934,70.5660414078361,0.17263746589177958,0.4210426446248475,2.6576258647380824,-152959.33515984,8457.298958027488,0.53155462588872,0.5481983052792256,-4.021103552442605,True,233.34871762304658,309.7388604612604,1.301612175869063e-06,246.06586897863158,80.37284339611433,118.96634038715432,0.04098465046667128,1.0,0.04098465046667128,118.96634038715432,hs-SNR,,,,,,,,,,,,,,,0.7612063185742434,0.7182166195927782,False,,,,True,0.7137564000443535,0.03501953251034512,0.0,213.90973680234345,0.035019521928340513,0.010919717587446176,246.19847913045623,305.90045306420967,Hybrid,0.016651683712799764,0.5773502691896258,0.4629714272205786,0.7144914137605154,1.2525375964284595
