,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1
1,467.1556275108838,0.0007573288868753142,96.63407624397794,-619.3576963968993,795.4131768722693,0.988342793836534,0.1290750545008688,5.399891199266884,6.4028606565282,-22131.82708420012,-26634.49672217152,0.6600302393833377,2.4171162425714208,-1.7689550665728038,627.3285184796713,True,False,True,186.15669728224185,95.86170587587698,7.565909187617568e-06,55.68294579892714,120.59894830061096,55.165027192146006,0.007789218390339914,0.42393316993042585,0.6448086367902615,True,1.0,0.007789218390339914,55.165027192146006,hs-SNR,,,,,,,,,,
2,269.9327687313974,-0.006698602886872524,-75.10924365530241,171.72174553476182,-491.97737494548164,0.99578397479426,0.12909527354692402,3.5914847168811934,2.2655674220954305,1317.6315948824586,-17319.18978378395,0.4913441923871123,1.2754657495695367,-0.22819399180441235,815.3614168661774,True,False,True,117.07549547560065,-65.7205323119928,-1.395330122804271e-05,-33.98452404048709,143.0798970251401,12.484565853514653,0.0018125744148457532,0.1765972466063164,0.6110517195993902,True,1.0,0.0018125744148457532,12.484565853514653,hs-SNR,,,,,,,,,,
4,281.989837074232,-0.005926689371343254,-69.96312516228427,188.2224045578328,-492.0459918960579,0.9961304254122462,0.12909260215469473,3.3101520890938425,2.6683327954941705,1186.7776987058314,-18888.44284685244,0.5082972722430102,1.2722601548558223,-0.4086470330548495,792.9747113937981,True,False,True,119.18784593771707,-62.9123753894276,6.652810816409767e-06,-31.186241973217587,141.64803507686452,14.942740383973446,0.0019008126846084747,0.1854399913499364,0.6118358678680643,True,1.0,0.0019008126846084747,14.942740383973446,hs-SNR,,,,,,,,,,
9,513.4127669994922,-0.0002839292039231792,67.31315892453254,-561.1667560198558,980.3805836133996,0.9734875917503264,0.1290742609211205,8.48854629037028,8.340905504648013,-11053.56564887299,-27401.64685515358,0.7334958645559335,3.5122874900339056,-1.9198838956831228,286.4762366749802,True,False,True,208.1527259939641,66.94279526564033,-1.2483660552591296e-06,37.958977057333655,107.94299021555227,130.57679939641085,0.012665310131711623,0.5213849671356098,0.6617267747561697,True,1.0,0.012665310131711623,130.57679939641085,hs-SNR,,,,,,,,,,
10,363.14940202353586,-0.006772640580902218,-76.11606258527402,325.14515214066483,-176.22869983013405,0.9963785445667064,0.12911807262408576,1.3655087628807463,4.229697437896961,-4669.645263795521,-6775.59571830857,0.5734904624880436,1.0463267637030134,-3.1462802445587617,891.9441517061557,True,False,True,142.37444995972098,-73.40750638256739,1.1637985556737098e-06,-42.13925249368323,133.41195557366206,47.06121537142207,0.003383869126798855,0.24427493100472786,0.6228594330175886,True,1.0,0.003383869126798855,47.06121537142207,hs-SNR,,,,,,,,,,
12,457.25311113850006,0.002410079051630337,-129.91988010579158,742.6628163421948,-960.9866159051527,0.9756891164321384,0.12908336403960194,4.759858368624124,5.730888486566428,-40296.01269159648,-44067.06712170324,0.6258224971865107,2.145112673250435,-1.5959197926695126,578.3988173497539,True,False,True,159.3314647365693,-128.37821701063098,5.027250980502085e-06,-89.25973180193995,131.13755907332242,23.129596815509828,0.004709340537977253,0.3047415394509442,0.6306098488422526,True,1.0,0.004709340537977253,23.129596815509828,hs-SNR,,,,,,,,,,
14,115.83114493227991,-0.05697575035654511,-191.78331554567748,47.363667746178514,-151.83481789119708,0.9672703889888832,0.12901442876237135,0.4765886971374007,0.24965034326166324,3327.750795501545,-11508.651218559919,0.3933137952828414,0.16075556482796072,0.09632098981542446,731.0654604595009,True,False,True,176.70445205583766,-180.7630290201094,-5.853079496811984e-07,-11.775086586278007,128.75791517388282,34.81972352285534,0.005647091518172828,0.5097019357287561,0.635378923036984,True,1.0,0.005647091518172828,34.81972352285534,hs-SNR,,,,,,,,,,
15,622.3084288584075,0.0007139513485655468,-112.54258203700728,1019.3429413396567,-700.5272938474353,0.9617137104861344,0.12907565857804731,7.5637423777427815,9.06697338951283,-49475.253489361865,17252.153423471027,0.7580531843317204,3.4020978260211665,-2.588164113100539,394.93282258196615,True,False,True,179.8044554891989,-111.83598713033967,2.285542221711094e-05,-95.723103970713,123.8962829454249,79.76147185795729,0.006203455176049851,0.3423014097369101,0.6379998925820912,True,1.0,0.006203455176049851,79.76147185795729,hs-SNR,,,,,,,,,,
16,425.6042502136167,-0.00274991705608622,-71.18569642045922,317.13573352750365,-367.6936413422966,0.9977454667625104,0.129084419080589,7.1330534055663035,4.429082119514113,-3529.175435681562,9184.56068961782,0.5824627838767442,2.521443704643928,-0.5584461273082688,1058.3129328566442,True,False,True,111.89276311367628,-65.77137129134525,5.561438772413164e-05,-51.10325802323917,144.2752706628139,8.256550192280173,0.0018059195401289145,0.1418709829301982,0.6109917618956864,True,1.0,0.0018059195401289145,8.256550192280173,hs-SNR,,,,,,,,,,
21,107.93460230052959,0.031861236927169904,-175.58340371711515,47.50771950345405,-102.79698099938592,0.9688726552672068,0.12904063227747234,0.34874247076236026,0.26762625199060674,3605.554574004999,-7387.113951267606,0.3948514474148868,0.13178999302235786,0.07769629027779547,687.1796835895838,True,False,True,151.81957224988545,-158.1034108973133,-1.0956094731505657e-06,-19.108772530423295,138.70128577039574,25.361803171378174,0.003225134836189001,0.3952082848576331,0.6218258831918823,True,1.0,0.003225134836189001,25.361803171378174,hs-SNR,,,,,,,,,,
22,517.197492783841,-0.0003074794413098015,67.61324743626568,-588.1232774638758,951.666355597896,0.97184348002502,0.12907429244915666,7.4609088139977935,8.702995791006384,-12048.063175344423,-30096.339618474594,0.7477833901787065,3.315726502000512,-2.4088918463465334,278.8703957499424,True,False,True,215.99402741000424,67.34556715182003,-8.420578271606969e-07,39.514353225485344,101.49452353115268,49.56009693003489,0.016292433083450446,0.5726520691069121,0.671888477311631,True,1.0,0.016292433083450446,49.56009693003489,hs-SNR,,,,,,,,,,
23,272.18585736430947,-0.006073650670144895,-71.09483351556347,189.345875050975,-512.3314621491842,0.9962246198921226,0.12909187804849204,2.946924096118255,2.643008912696773,1042.8301358213857,-22143.507060241434,0.5072886656184895,1.177232509479026,-0.4635172191620544,815.8499035019058,True,False,True,126.95800211619236,-65.8072924997214,-7.377115636666783e-06,-25.757422359209446,139.82598349772263,27.076904897916066,0.0021560920997572078,0.2248536834808088,0.614000674595335,True,1.0,0.0021560920997572078,27.076904897916066,hs-SNR,,,,,,,,,,
25,528.8982537728925,0.0006821514780070057,83.55731500052775,-699.867611551065,796.0536531690828,0.9916757311571216,0.1290751097198988,6.617119498588026,8.367141806610585,-21446.28352124488,-20581.9353150175,0.7435251343223035,3.0488035090821035,-2.5159225371742417,643.5344437099526,True,False,True,223.83416316245442,83.46735455460221,-6.791756669248455e-08,44.664675230544155,93.967941226277,62.49782450853635,0.024003947721345162,0.6701949995377923,0.6895569519827377,True,1.0,0.024003947721345162,62.49782450853635,hs-SNR,,,,,,,,,,
26,113.14329852762455,-0.04947136545036306,-165.99326314134598,50.4180446551473,-133.16539414611714,0.9731667321759212,0.12901668467863894,0.4664979083754652,0.3071751592164204,3683.134169918208,-9146.538417984366,0.3985721613722373,0.1678203369632697,0.07845023156836613,702.0354480291652,True,False,True,151.85025801295708,-151.2515223382335,4.856200961010436e-06,-18.245175463170842,138.7249923533983,25.02003305111802,0.00320731238718916,0.3919461095676369,0.6217081190383053,True,1.0,0.00320731238718916,25.02003305111802,hs-SNR,,,,,,,,,,
27,405.6175484246659,-0.0029339061844649863,-70.55823612100322,328.2876928585171,-421.799201571636,0.9976483040279204,0.1290846670359671,5.350517335639631,4.627575413291005,-3819.8953583773873,-3886.0984851987737,0.5906849922829654,2.1088919027917417,-0.8714940089293643,1027.0109660518433,True,False,True,136.09988632241118,-66.86245404383143,2.1445066095710024e-06,-43.449434788808915,137.81538206155895,21.106297339226547,0.0029167947819032924,0.2131530214572717,0.6197358113973511,True,1.0,0.0029167947819032924,21.106297339226547,hs-SNR,,,,,,,,,,
30,433.3750122108871,-0.0021105443879766875,-65.89415438025006,346.1091514308938,-346.43598589970526,0.9907724061384172,0.12908042206140916,5.924925151954924,5.230103735679468,-3627.7736407838534,2219.3361336365924,0.6123701721207532,2.352915243935309,-1.0251107442583418,481.6879141451431,True,False,True,144.5015501345946,-62.94699555012473,-6.388326475493957e-07,-39.023916522616474,135.6858130037946,35.9589979336176,0.0034202472657597106,0.23794945841569176,0.6230925439218489,True,1.0,0.0034202472657597106,35.9589979336176,hs-SNR,,,,,,,,,,
31,473.7027247759646,0.000704968636856671,86.16904136662367,-663.5151226992797,710.092201104194,0.991325652603094,0.12907495180283665,3.515896240855779,7.693220062299707,-20789.17779725185,-35292.30082730009,0.7152714311198873,2.1611774039305627,-4.079356616741175,649.9471687391635,True,False,True,224.55722612874882,86.08719717048334,1.2677236297550744e-06,30.555586790041733,92.53431162907222,125.41168577615869,0.025652355572477397,0.6920201013793873,0.6928424295698354,True,1.0,0.025652355572477397,125.41168577615869,hs-SNR,,,,,,,,,,
32,115.21561840632464,-0.05571119592082152,-183.93290805653487,50.93282140776709,-154.41820238994592,0.9604011300606162,0.12901340796820882,0.4920325968739993,0.2798229784900477,3185.243137485563,-11668.1885140027,0.3912600593220271,0.16964531230017446,0.0892290015139891,634.0131000519538,True,False,True,176.68821860330053,-171.7620594648069,-6.417481630997549e-06,-11.801885060698517,128.61532788030078,32.32542270852275,0.005472736571002721,0.4897497400959831,0.6345278254294721,True,1.0,0.005472736571002721,32.32542270852275,hs-SNR,,,,,,,,,,
