,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT
0,115.83114493227993,-0.05697575035654511,-191.78331554567745,47.363667746178514,-151.83481789119708,0.9672703889888832,0.12901442876237135,0.4765886971374007,0.24965034326166324,3327.750795501545,-11508.651218559919,0.3933137952828414,0.16075556482796072,0.09632098981542446,731.0654604595009,True,False,True,176.70445205583766,-180.7630290201094,-5.853079496811984e-07,-11.775086586278007,128.75791517388282,34.81972352285534,0.005647091518172828,0.5097019357287561,0.635378923036984,True,1.0,0.005647091518172828,34.81972352285534,hs-SNR,,,,,,,,,,,0.6149024661822178,0.062193071681903474,0.0,150.31856450905912,0.062192993652904274,0.2863610008960597,-14.524149748102625,-176.71695547005612,Hybrid,0.004130109552943554,0.5773502691896258,0.5225568531406153,0.6195831662318261,1.0813496877509072,True,141.49643236115833,4.32715796220538
2,115.21561840632464,-0.05571119592082152,-183.93290805653487,50.93282140776709,-154.41820238994592,0.9604011300606162,0.12901340796820882,0.4920325968739993,0.2798229784900477,3185.243137485563,-11668.1885140027,0.3912600593220271,0.16964531230017446,0.0892290015139891,634.0131000519538,True,False,True,176.68821860330053,-171.7620594648069,-6.417481630997549e-06,-11.801885060698517,128.61532788030078,32.32542270852275,0.005472736571002721,0.4897497400959831,0.6345278254294721,True,1.0,0.005472736571002721,32.32542270852275,hs-SNR,,,,,,,,,,,0.6022156607610492,0.062411514882118574,0.0,154.6473841342699,0.06241144287308045,0.3280601681656273,-14.100105942260884,-167.88532840312928,Hybrid,0.004191677311340932,0.5773502691896258,0.5221331565462198,0.6101548333262835,1.0689257009352795,True,139.87612835428314,4.680347141688225
4,122.4718732449239,-0.05248720515775947,-184.47467260535785,47.30139465148282,-156.07396258636655,0.9699879121052786,0.1290593804944322,0.5292501429304579,0.25715898359963496,3472.629232204127,-10758.172354515667,0.3949652672168672,0.17517236633255365,0.09782143765712306,735.9074252072728,True,False,True,160.7279783197675,-171.61369251985494,2.167503223791626e-05,-15.726948496050762,135.7788164086422,33.74519819488856,0.00412269659953775,0.4758341319578641,0.6273515400265938,True,1.0,0.00412269659953775,33.74519819488856,hs-SNR,,,,,,,,,,,0.6146071787466264,0.05979972124795485,0.0,128.48952727286812,0.059799600086896026,0.05438693780904218,-19.251621557105004,-166.85532549604773,Hybrid,0.003089049765971376,0.5773502691896258,0.5302271127697834,0.6174849681384961,1.0748086751918904,True,147.66614757552142,4.488604392880301
5,112.8086003416713,0.031181744597402267,-187.4440791175312,49.79018651410223,-115.75540733294432,0.9616385521422172,0.12905067027890454,0.3753473920444524,0.2636540115372167,3121.237578213317,-8569.521220226343,0.3911995771071247,0.13777918326731586,0.08275126919539158,657.0926410786116,True,False,True,164.21395181520722,-172.9611699758673,-5.25211290041674e-07,-15.912784126950385,134.14851560460252,34.02466222887334,0.004317942389318894,0.46833660129733706,0.628462923988183,True,1.0,0.004317942389318894,34.02466222887334,hs-SNR,,,,,,,,,,,0.6048891440388793,0.06023279214451705,0.0,137.6263425586058,0.060232695190961937,0.1144769953758894,-18.84063194084954,-168.12615419515737,Hybrid,0.003336436591133785,0.5773502691896258,0.5283073464520134,0.6105448202065994,1.0665925279232789,True,145.06205252482604,4.8738885421026685
6,461.6215948737622,0.0006822442029224738,86.7660898892886,-601.6647926654106,805.1056050814686,0.9918757133973426,0.12907485413623299,4.834388076561365,6.928025093058249,-18301.98754276253,-33651.995306472636,0.6836609788978255,2.3632678679833825,-2.3530144470284737,676.524527831231,True,False,True,206.81612299687905,86.49816807552503,-7.734033131976406e-06,38.89284059269951,108.26809859595322,64.92294335369502,0.013023420727046884,0.5494070808022053,0.6628027927243546,True,1.0,0.013023420727046884,64.92294335369502,hs-SNR,,,,,,,,,,,0.6513695918440536,0.039631227102405485,0.0,172.72220567438342,0.039631155323859364,-0.9999999999999974,40.41169212765415,85.87503510556438,Hybrid,0.007743601644397131,0.5773502691896258,0.5012032223113881,0.6536480838427727,1.1387949135893591,True,122.40325214269592,4.36323817393859
10,521.0320030260783,0.0007569564430490322,90.30536015057743,-674.5873959079328,687.8764127770677,0.9927459845983644,0.12907530519474242,6.572366588721657,7.4613604370034095,-22671.11656863251,-8784.870116208767,0.7063153002019674,2.886651720014316,-1.9885751187185428,745.6524687901982,True,False,True,189.49100413780263,89.73479952038633,-7.754433961584103e-06,58.15527563252317,119.33309856934795,134.8133834178689,0.008161845820324887,0.4210609965398482,0.6462902136971206,True,1.0,0.008161845820324887,134.8133834178689,hs-SNR,,,,,,,,,,,0.5674546542155973,0.042074414690747394,0.0,173.18681223017344,0.042074291695524665,-0.9999999999999926,59.24051358216703,89.3550020629375,Deflagration,0.006737474954379622,0.5674546542155973,0.5059346451823669,0.5917882218191681,1.0491144362192355,True,128.05907097759732,5.290717235283257
11,106.33239413088788,0.02975809273391305,-170.46743869383292,53.970006203460215,-117.62263833868286,0.9643094542142278,0.12904239608284454,0.374511713171818,0.3135239778503515,3177.0736338680767,-9261.067085417735,0.3945593599023325,0.1458819246013464,0.06342543322832699,620.8351712656845,True,False,True,170.29626401845928,-154.47627640899705,4.673878083546344e-06,-13.537432914972749,131.0027304843449,25.081064032929845,0.0045331082898232644,0.4228306869595352,0.6296559313634125,True,1.0,0.0045331082898232644,25.081064032929845,hs-SNR,,,,,,,,,,,0.5708572291910269,0.07221588879147192,0.0,156.67254956333534,0.07221581679997674,0.3191174309763388,-14.880278497497542,-150.98162341091958,Deflagration,0.0038998686217527,0.5708572291910269,0.5237909943094711,0.5889319996125689,1.0383327430058586,True,138.76609471790837,5.81426806995141
13,106.14066723715092,0.0312912570243439,-187.283859600126,54.7105281730377,-116.19015317843555,0.964604323826613,0.12903871769394976,0.3446467319540177,0.2891546311531241,2646.295364687999,-9762.033047818337,0.3936843257766812,0.13435412151402512,0.06838936796469247,685.0730777517922,True,False,True,185.02632074924458,-175.19046520070657,8.13992928005865e-06,-10.752744747681305,123.9308780311012,34.03311514699243,0.006578633190824426,0.508866838713808,0.6396929509446753,True,1.0,0.006578633190824426,34.03311514699243,hs-SNR,,,,,,,,,,,0.6019076071046479,0.05788067467479242,0.0,164.8311602549229,0.057880620026935524,0.3165906080851365,-12.830313200971098,-170.69060203822966,Hybrid,0.00496817349104127,0.5773502691896258,0.5170166134006237,0.6112590595535017,1.0727160495242845,True,135.6861127747019,4.813354193838898
15,480.0864273748829,0.0007850529409542282,83.04740563671031,-617.4491429058554,816.9292479888298,0.9920282035756428,0.1290751882292176,5.291932288622051,7.4266510429653705,-17843.399911033917,-31596.07532933564,0.7045128586559553,2.560758245983074,-2.4765489347667082,653.7688860951946,True,False,True,209.3169907869896,82.81624530227111,8.7598313421785e-06,41.870349443337844,106.565782940456,66.19053672642005,0.01381974557095427,0.5525225214937634,0.6651332884153122,True,1.0,0.01381974557095427,66.19053672642005,hs-SNR,,,,,,,,,,,0.6549360052463165,0.04040491781067301,0.0,176.21565554494342,0.04040483256523487,-0.9999999999999962,42.848843327669115,82.26422373200349,Hybrid,0.008059092920800613,0.5773502691896258,0.49958346938877096,0.6569431136868881,1.144332734938725,True,121.02387589385378,4.369817297170093
16,469.84388993723024,0.0007450372297552595,83.93046546810001,-614.9313452565573,757.1598834541728,0.9921944331555688,0.12907503517469168,4.418505527599843,7.319281049803245,-18007.973018616598,-32647.528159403937,0.7001214915374496,2.324506556867168,-2.9020332632859778,667.8029496521817,True,False,True,210.35601429831942,83.72926371890617,-6.297101058581442e-06,38.80957760545088,105.51096019571936,67.46773562564988,0.014379003651550409,0.5634756756713308,0.6667218393212921,True,1.0,0.014379003651550409,67.46773562564988,hs-SNR,,,,,,,,,,,0.6441745844641718,0.03959752181426522,0.0,180.9523472287919,0.0395974547810923,-0.9999999999999976,40.118681728760144,83.34243826044802,Hybrid,0.008689313976780121,0.5773502691896258,0.4964312686780034,0.6488336767358635,1.1341900425215183,True,120.20942924072868,4.385848276187969
