,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,h_low_3,s_low_3,h_high_3,s_high_3,Tnuc_3,dT_3,alpha_3,vwf_3,xi_J_3,v_calculable_3
228,795.3405420664645,0.2549353690469916,421.9172620060424,-579.6593267708192,69.961307887472,0.4527074381547359,1.6324896048073931,-0.07543608358484191,-223842.014329033,217163.98019958293,0.5577120308400764,0.39554972060437465,0.4518359773671968,True,1.4440124828607367e-05,308.654706843828,-2.5637123777204915e-05,271.4768922396064,781.1862914508507,32.38700842149535,4.458583882180831e-05,0.038244033789767436,0.5827764301866405,True,2.0,0.0004742086260062635,0.3664861841163827,noneSNR,62.80708343466391,389.45511587146143,0.0016752576036931446,386.83778851650817,142.28860562138868,0.3664861841163827,0.0004742086260062635,0.04885773015507957,0.5948548069112448,True,,,,,,,,,,,,,,,,,,,,
267,300.48627505690826,0.21888737844169687,872.3742757862548,-770.5179445673677,168.11134956897288,0.15810670630414134,0.13577515897061487,0.8095765742155809,-354537.67052101507,-45558.7201002478,0.4472871923231301,0.16887321877858388,-1.048693997314413,True,-1.0372986435280774e-05,818.4619548726685,-5.286001006405489e-05,816.9730781338394,414.55845135024714,0.04653356789913232,8.286933979223839e-07,0.0058000280401093824,0.5780930686434925,True,2.0,0.00019938049525319092,0.04336092509504397,noneSNR,41.566470307784144,838.4092819825192,0.00021552118679996692,836.8778568310332,150.19184027954498,0.04336092509504397,0.00019938049525319092,0.053277108561774415,0.5887637130214923,True,,,,,,,,,,,,,,,,,,,,
434,462.70071852562927,-0.21859014758307302,-414.03649905070887,564.5651151404995,-876.8684896249437,0.20605196265984452,1.5356161471205785,0.9514476814687076,-139709.29843916046,-112300.77316736351,0.4771711166365286,0.5424786503582625,0.058675827635865485,True,3.8481902004377534e-05,-304.14624634575415,-7.35700750455848e-05,-292.0094560410432,479.88769025375746,1.9821346090381555,1.1785974661654158e-05,0.021315676925995047,0.5801465468909179,True,2.0,0.0019831462815647423,2.567494789090801,hs-SNR,117.89342128401043,-387.69556782583845,5.393518171988159e-05,-375.17332329112526,135.7355827557173,2.567494789090801,0.0019831462815647423,0.11604531462489948,0.6125501927465858,True,,,,,,,,,,,,,,,,,,,,
550,291.375253975446,0.14428888485034153,-516.2687805043881,801.1345725669053,-190.40329300728524,0.14088481073740214,0.2527580187668666,1.6293057635089936,-187928.86873184843,-28581.15936767753,0.47283162742698603,0.3347404652765489,-2.484785864277018,True,-7.911112197363307e-06,-489.98697385139235,-6.0836871204361695e-05,-486.9697730160932,485.2867680449255,0.0007239442452942058,1.6505544873989513e-06,0.001918020314908863,0.5783983008713002,True,2.0,0.00018655705993386867,0.02472209078300125,noneSNR,40.70426374127922,-541.1863743035926,-0.0011984879015284548,-542.5005084547656,149.90918718888915,0.02472209078300125,0.00018655705993386867,0.05403160138135951,0.5883942517807861,True,,,,,,,,,,,,,,,,,,,,
655,687.0116857059106,-0.20664365716897715,-277.9936728800385,-87.4246586689635,-437.140442610336,0.287539243018427,3.7773310360912613,-1.653392479122619,-22154.95183700484,129813.10322458453,0.4093797501245145,0.6687673458357121,0.1066107869273738,True,-1.606486972672276e-05,-64.32894126015586,-1.3339333233900628e-06,-70.20341685138457,789.6952612291678,2.1771814887847545,-1.6999666273755801e-06,,,False,2.0,1.4735163314757732e-05,4.764710168104557,s-SNR,-2.2025157770139543e-05,-124.86476325718156,-1.8467368643947842e-06,-114.02202412048972,604.7132386673672,4.764710168104557,1.4735163314757732e-05,0.010241310924299184,0.5804759875203062,True,,,,,,,,,,,,,,,,,,,,
753,936.0341126791844,0.28086886934161365,401.69264726723935,125.17107767337076,309.0269358924156,0.6744650582719881,2.9240153131711204,-2.6289684849162556,-120938.5880326785,277443.71964220377,0.5621936575098936,0.2928424141400707,0.0835417426902958,True,4.840992654830024e-05,225.9066823113008,1.961049888708982e-05,129.00105419836714,752.2950505611141,84.28980190271568,0.0001414106609346281,0.07866262522313479,0.5869777622517734,True,2.0,0.0001414106609346281,84.28980190271568,s-SNR,2.9183422974565314e-07,288.41289616830886,-2.51177552453278e-06,255.54983136264005,705.0203996447343,17.805899779830956,8.475647945789845e-05,0.02836622018254944,0.5848181154033779,True,,,,,,,,,,,,,,,,,,,,
807,499.65205201829286,-0.28180490521623,-625.9603495221589,801.5110803470997,-632.619696454688,0.2783496109094279,0.7512812946088772,0.8748511321674698,-313447.2832422873,-113915.61334585432,0.5101284178737687,0.33362884568013096,0.02366321416732664,True,1.8784850554904925e-05,-531.6777874106269,1.0643693133605699e-05,-519.390173605037,574.8383908327481,0.16220875509281996,1.0529649546657328e-05,0.02187346606600845,0.5799936671525949,True,2.0,0.003034409515422618,4.579251579602598,hs-SNR,142.72004971754703,-599.472233915749,3.151371881779169e-05,-580.7994073837529,129.9622254855186,4.579251579602598,0.003034409515422618,0.16752606618534086,0.6205466213113242,True,,,,,,,,,,,,,,,,,,,,
1025,418.29207882658415,0.28159372425165546,487.0818502330983,-631.8111755526098,190.98027864134338,0.23055926543303096,0.4560104207070144,0.942486048662552,-181966.7271341297,4416.4252125617795,0.4890513666561986,0.2710836132871789,-0.2564251934672341,True,-2.0676517637139647e-06,405.81646386087886,1.1631977746493601e-05,399.2546441370532,522.4080272153444,0.890942579457942,4.4356904840232175e-06,0.010709024028197513,0.5790673362458987,True,2.0,0.0022676372042851555,2.9671360569533647,hs-SNR,126.19111114244623,456.56135288528236,0.00033080557842773213,440.52750116936477,133.73164586645578,2.9671360569533647,0.0022676372042851555,0.13002603837058282,0.6149032960649726,True,,,,,,,,,,,,,,,,,,,,
1053,438.1121738661088,-0.249074653980438,-719.0612312165387,-149.78934559699962,-535.1205342159149,0.217441645503928,0.5534555880172145,-0.446216605376368,5529.877945282482,-105830.95798959825,0.4246299461066922,0.06399446277490896,0.1275025143322068,True,-1.4962270201835956e-05,-468.55270113920767,4.095429441446334e-06,-436.2679884910889,813.1183177699019,3.4223886126929983,7.317370614079587e-06,0.025953591025730336,0.5795547159063261,True,2.0,7.317370614079587e-06,3.4223886126929983,s-SNR,7.496821467802948e-06,-642.3361714272057,0.00012672957185317214,-637.978927787119,532.2312502464209,0.04849936266759869,6.175838555109804e-06,0.00030866175686871587,0.5793757952557704,True,,,,,,,,,,,,,,,,,,,,
1055,801.6463015589512,-0.2690607966109208,-383.9656919988665,967.0631748523281,-44.864806940835706,0.4945421354812837,1.8287560116372341,0.8189517707710365,-280973.7989965563,200874.137127341,0.6158955401015119,0.5936809647044812,0.4028565854979683,True,-1.7006855575768147e-05,-265.2559058110327,1.540013968588996e-05,-212.02213260119822,810.7149298523027,104.6170855001883,4.4055262855340945e-05,0.04700709987284081,0.5827442010328204,True,2.0,0.008238037394030394,20.445477397279817,hs-SNR,198.42302952758902,-371.74341539485425,-7.456190601462752e-05,-343.19114420853543,110.47127385601952,20.445477397279817,0.008238037394030394,0.3882400554008396,0.6465883216062567,True,,,,,,,,,,,,,,,,,,,,
