#,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Tc,v/Tc,v low,v high,u low,u high
0,201.77367400889347,0.047279597128546624,556.9014446635965,-761.5176291425169,122.00306263317748,0.12953593161848048,0.10827015138362732,1.3760493952391302,-202855.07743182752,-34103.299032795396,148.89161050418898,0.5070898608636312,75.52133310376828,0.019907049437135976,570.7541082862011,588.9436781080776
0,256.13745705189064,-0.0286901893544532,643.5906640564285,-1074.458748982318,206.4603207950547,0.1294132167743328,0.17846556246354117,1.6604344833011597,-339783.9040866691,-59227.90652571555,149.49482860284547,0.38969314115553944,58.24915632679727,-0.00795301795456265,626.4704828425081,620.7325710962731
0,217.14235139996006,-0.031262140957708726,1134.31660140821,-1436.1148192112164,97.01276295096955,0.12932798616146474,0.04616258065478852,1.2625374415239885,-808932.5913862009,-50753.79909923266,151.9332014946886,0.2791658633202103,42.434126011205606,0.019562648937398182,1115.87396287881,1112.5616007890087
0,267.369360286003,-0.033357359571253936,544.2265977827087,-869.7202341269792,409.91022722384287,0.1295864295329246,0.4154106547243609,1.5841936128743859,-230864.7917332577,-100467.64701477998,149.15891051487247,0.450246201276401,67.15836398460044,0.00013113875248188257,526.1263474891166,518.1533672793146
1,224.0246386522913,0.03519351280542629,968.5406024096277,-1915.1885068881636,162.1473219731763,0.12942683730153498,0.07849148703279304,1.982489678943918,-917234.7577126405,-83261.31595368733,113.78553878893372,1.7256322546944711,196.98698479256802,0.6349889405951114,969.8471280833504,1102.9733938406932
0,219.3615195868477,-0.024711909848289415,99.11967014381113,-144.6099910567366,-32.52725899157417,0.1292376370729214,0.03353991675070627,1.4260741442150353,505.3541314388667,2557.434576464242,148.79141115574944,0.5203720208344167,77.42712778023551,0.0002404743135951852,84.84723430693131,66.70402910189742
1,225.21572869779806,0.008687057400446993,403.35596904489387,-502.8312050725692,351.2590013112542,0.1290959294366006,0.4751816302322411,1.2496870598639844,-93335.32397648154,-64279.26130827771,153.18551742347978,0.3063814557091666,46.9320087548153,-0.0011930669523399298,387.7812160830593,382.5716371256147
0,285.65397087835566,-0.01947804851717069,763.2808368498902,-1496.1848686987337,289.1471337910152,0.12928046727751905,0.20843318029019856,1.9533682038248543,-565159.1267380369,-99474.91129384094,150.94398931853584,0.24021766258872324,36.26213320662902,0.0027209107131330157,749.3103431141506,747.9578096174083
1,306.16533648472574,-0.018850955387095483,697.0067062340019,-1390.3167363815628,679.8295551612277,0.12930297347533987,0.5219044587508782,1.9861200691368093,-478775.6757294742,-220554.92018440017,149.95820981829215,0.3698802392170818,55.46720027322938,0.0006217530741384892,681.9422566044132,677.8615228102406
2,51.666718105837006,-0.01974294478375138,670.4726018002228,-156.01978610401625,33.344734164207466,0.12903237346938964,0.01999707612197911,0.23425302474162182,-44133.47466919989,-13320.343684269305,64.19436823854781,3.747879336262146,240.5925972903978,-0.00014893525856404644,670.6056145615128,1002.8154635127453
3,317.49697294452295,-0.04966886496841316,539.5583241289637,-951.0764770833787,792.7392675102235,0.13080560462334062,0.815636034193935,1.7309065108094923,-253279.0133199908,-191241.91529747035,149.00966681606275,0.4073924701337669,60.70601459461436,0.0005983566089578885,520.4806984282754,515.8321729621725
4,245.21332243298133,0.02831419018984853,408.0096040347639,-733.2069225145087,0.8205911911452404,0.12936817982675894,0.01791787106459481,1.8095648584895112,-140693.09328890653,3027.802778907826,149.3122174814675,0.33862825223786447,50.562025867439054,0.0006906239297996044,421.83187551448214,426.36887603766957
