,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT
2,158.5753994992385,-0.01662695530115212,116.60844631178406,-135.45132011342943,460.38961592899017,0.9797298378091036,0.12909575517977054,1.604124302856113,1.1670911604891263,-34.922694123364636,-31706.49487690416,0.4376457966290388,0.5955462691288826,-0.08318545246521353,True,216.8481192163348,115.58176258238831,4.926200604362826e-06,3.788043300782959,100.20058705274872,75.9174375610713,0.016598235826996592,0.6662903683129264,0.6726790768928188,True,1.0,0.016598235826996592,75.9174375610713,hs-SNR,0.6660424428427757,0.03802314620931431,0.0,194.13779740850126,0.03802312114156133,0.3115147424650553,5.902968009441338,114.14808309611868,Detonation,0.009103610079615406,0.5773502691896258,0.4944149465502154,0.6672956322046482,1.1620159002238872,False,120.30585304746988,3.761294281911287
12,160.02616670825688,-0.01464675651325611,120.62044074279726,-132.30283186893308,395.47185829314947,0.9770673426181624,0.1290917215982571,1.3768945137446251,1.1017646022888206,-118.65672363697377,-27520.279077986925,0.4336193491426356,0.5278510621509598,-0.09131100837474213,True,212.71220452990013,119.37700799467545,-1.835315284067491e-07,4.589226902816883,104.2031841546158,80.58964515376759,0.01444508224281309,0.6499760073630209,0.6669070402070962,True,1.0,0.01444508224281309,80.58964515376759,hs-SNR,0.6606084953660631,0.03755739441264694,0.0,188.658563244034,0.03755736762255407,0.2495707685250664,6.96554371344755,117.7514613297354,Detonation,0.008208412770792302,0.5773502691896258,0.4988268458401566,0.6618166040150562,1.1517685153845476,False,123.70738806527609,3.8037899930552608
18,143.70169679641904,-0.021397215856949682,115.33381682433209,-127.99644600785912,463.57802819777146,0.9756561606104216,0.1290929865634148,1.5215668373848883,1.1135597375478632,468.80461115222533,-33112.293496865655,0.4334225335258791,0.5659849989375325,-0.07464687859079625,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,138.18037241961432,-0.02238887840331328,109.60045425949428,-129.69968103267522,558.9209772756057,0.970963016542622,0.12908834358446206,1.8516470827455056,1.1862448625507052,734.2143019818268,-38928.893902651864,0.4341648178506409,0.6606192477781606,-0.06090154258778141,True,217.5452000626197,108.72033219846762,-1.7297578234459564e-07,3.8802053851089378,99.28087474156179,49.39713914630372,0.01486542459768055,0.6235266613456375,0.6680732563829557,True,1.0,0.01486542459768055,49.39713914630372,hs-SNR,0.6412114689362249,0.045506442030247285,0.0,200.15513104272742,0.0455064187042766,0.4809488555258336,5.314373369311303,107.69193309867431,Hybrid,0.009047873970166766,0.5773502691896258,0.4946837683715972,0.6468438848946076,1.1321597055646673,True,115.08845467263805,4.2862382541656645
67,135.2110996944023,-0.02256236643742555,111.13894476325912,-121.4998855194451,537.5229667799697,0.9658817756659592,0.1290851570104761,1.8170463205386715,1.0953967476763582,1086.1518369836276,-37230.008195323084,0.4279174927114031,0.6368277047473943,-0.036003374478394995,True,213.7776486551149,109.48453842907831,-3.0652496782746037e-06,4.342700971641319,103.12057431764595,42.380576390297065,0.0124525266131509,0.5877294308382082,0.6610787568254985,True,1.0,0.0124525266131509,42.380576390297065,hs-SNR,0.6204385101955605,0.05021097004338304,0.0,198.3594363506776,0.05021094487247757,0.4989997940843385,5.635482668012728,108.03215375636192,Hybrid,0.008309363828683832,0.5773502691896258,0.4983188269335884,0.6297530388450508,1.1064260978023102,True,116.88731158384951,4.5840759270932665
69,129.9191266687206,-0.019018561257479312,106.407265160157,-127.75091324110042,636.1267544312839,0.9635118264359324,0.12907776988848785,2.127650160916358,1.2014782950239522,1032.224088057471,-43571.087911833485,0.4311907224027953,0.7321589227330815,-0.04054011653978895,True,217.06070451960625,105.28172680323456,-3.2616910575866687e-06,4.36697757142435,99.75014259278446,38.969120717788094,0.013406733826603543,0.5878659216512573,0.6639350005891175,True,1.0,0.013406733826603543,38.969120717788094,hs-SNR,0.6,0.07874892318930597,0.0,205.71844325854357,0.07874888152414727,0.9999999999999992,5.275734772734909,104.4670760009025,Hybrid,0.009501083630323749,0.5773502691896258,0.4925189103858289,0.6162144348689946,1.089902030214034,True,112.98143223524458,4.742983774196949
68,133.7125647923106,-0.02375149765862776,114.74238811709299,-118.25115191938735,535.4554986868394,0.9646472003867479,0.12908447847689894,1.8260636475162992,1.0324550067591178,1052.5199397920917,-37340.98366177127,0.4246987350689873,0.6285917463389277,-0.016852841729851326,True,216.41254451501732,112.66756487683494,-2.6832549050923287e-06,4.099738611113153,100.85166761379877,42.10418545768263,0.013618341204623359,0.6021111596317765,0.6645516884638516,True,1.0,0.013618341204623359,42.10418545768263,hs-SNR,0.664672184803236,0.06994590072728024,0.0,215.13237735080673,0.06994587861594459,0.4660649466103318,4.099740913083867,112.66756709348029,Detonation,0.01361833737087278,0.5818581066115845,0.664672184803236,0.0,1.0,True,115.23484658867012,4.5018958530096045
70,126.9004953139591,-0.020484514016456828,115.86551056962,-119.69600304620356,565.1170205135272,0.9623966044412766,0.1290756749820412,1.8723512958964847,1.033387340424231,891.7289803161802,-40331.67311787768,0.42364893131413184,0.6403190473781599,-0.013511001686152907,True,221.7025625546356,114.00186256009287,4.690412893039009e-06,3.7819890636406415,95.32568445441684,41.173496183862476,0.016354731151132302,0.6252367326441975,0.6720502750686654,True,1.0,0.016354731151132302,41.173496183862476,hs-SNR,0.6,0.08300105890423118,0.0,211.4845963688718,0.08300102047138798,0.9999999999999992,4.6315046582629,112.81683884981615,Hybrid,0.01132767183810841,0.5773502691896258,0.4842289181455829,0.6183180779019612,1.096164385196414,True,110.39292874118378,4.459034108323012
77,128.65673073001156,-0.0198746360165874,113.78035880305004,-112.04100045663569,492.748161781551,0.9533406183940176,0.1290770445726526,1.651994610626104,0.9853549661486688,1454.055480887546,-34658.93421925467,0.4173110447912363,0.5772244803479708,-0.017855094774016506,True,209.70137331621098,111.18246300706656,-9.79118864751206e-07,4.918312102401768,107.1946682579282,35.492594089266674,0.010255938796405037,0.5475973965729514,0.653964773200161,True,1.0,0.010255938796405037,35.492594089266674,hs-SNR,0.6,0.07987987280399246,0.0,196.8241314098496,0.07987984556435272,0.526121407863029,6.035697887439996,109.47361734850858,Hybrid,0.007478573513730881,0.5773502691896258,0.5025870943965172,0.6136263490428098,1.0821542348883106,True,118.90014988528206,5.025109505438586
78,127.57560101527432,-0.01941367346012115,116.94358291205702,-123.97582017432043,641.1078286155763,0.9407077285117248,0.12907604827651148,2.1614470481172874,1.0605569500582008,577.6789869758095,-45401.094626498896,0.41446213658984654,0.7171212537056887,-0.0010197879014422484,True,228.21106987212607,115.27055919293068,-7.791996866145634e-06,3.4374576880705137,87.83998898538891,44.803278368295366,0.021738161341338744,0.6767301252685467,0.6847942097478538,True,1.0,0.021738161341338744,44.803278368295366,hs-SNR,0.6,0.1457585395247499,0.0,219.94300578462128,0.14575850758569234,0.9999999999999994,4.1324484625380915,114.23915626105844,Detonation,0.014529393444228591,0.5773502691896258,0.4710211137858627,0.6216263254860426,1.1059714164923058,False,105.57399267607485,4.213517651247382
