,ms,theta,u,lamh,lams,lammix,muh2,mus2,dmuh,dmus,dlam,dlams,dlammix,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2
3071,569.7563615211415,-0.3518040605441133,188.24788263619098,0.4317146938883169,4.062581130321929,2.156558109683809,64379.405362018166,209326.04646006442,-4814.817304131316,48621.62701119522,-0.033902632805791734,-1.5018593810971774,-0.3786673501069608,0.6402154167597274,1.3750716341944504,0.1455208474607831,True,7.189330606412104e-05,1.3872508461944144,6.608214493016896e-05,-0.0367868694487077,536.2207159292359,0.1341720332151226,6.879696423373159e-08,1.0,6.879696423373159e-08,0.1341720332151226,nonesym,,,,,,,,,,,,,,
2118,328.98751528125257,-0.30564049532036863,-560.7050712994568,0.19822405053565853,0.15879919441867302,-0.19245910182719714,-18238.385724770924,44092.00649763629,938.7405437330203,353.9970235994612,-0.010574358447095537,-0.0006812965790688592,-0.0008758358358570037,0.4255943779371062,0.0076232816334687314,0.1399106157419114,True,4.724000136817424e-05,301.0035253530027,4.2181359746982266e-05,270.97117133184446,958.3374967414752,5.760999283913975,1.7451355968083182e-05,1.0,1.7451355968083182e-05,5.760999283913975,s-sym,,,,,,,,,,,,,,
666,310.7001160775885,0.2955014363959973,511.98029398731796,0.18566076046665428,0.17105393872566282,-0.1787780578707317,-12177.270832914382,39419.04615859212,980.4240691798527,332.56683292508046,-0.01054385329102549,-0.0006267300685993463,-0.0007906736976145192,0.4198827764007901,0.012967141702960424,0.13894801854714364,True,1.0625441639611647e-05,262.2050312910961,4.257603038755603e-05,230.52883972602768,884.5906086816818,7.5250223777849214,1.951025560904726e-05,1.0,1.951025560904726e-05,7.5250223777849214,s-sym,,,,,,,,,,,,,,
661,357.3218694556363,0.35780984700222485,505.40805901381134,0.2424249006624352,0.22302444586552,-0.2953519542112076,-23027.504174210386,48017.46699621726,861.8435305063754,593.7644609511449,-0.010753417012306095,-0.0017333327879952654,-0.0015199561655673446,0.4434076008178274,0.006530785764512069,0.14464102710785276,True,3.0122805032507006e-06,279.5267780838912,-9.070179496294721e-06,246.4728902762592,836.713289158779,8.383581880533255,3.287094683536716e-05,1.0,3.287094683536716e-05,8.383581880533255,s-sym,,,,,,,,,,,,,,
2706,391.41745614834366,0.3497723879366288,518.2902510200133,0.26232619633384463,0.2551023399746102,-0.34705576953873474,-30713.13512851498,58008.51549103449,808.8660789227004,869.2927563004123,-0.011101493431855064,-0.002947639535483678,-0.001803275846077848,0.4512039230148852,0.005932956737196758,0.1442875817310628,True,3.4049693711669955e-05,292.77132083117647,-2.2950701603662867e-06,254.88234221528026,858.3166240608182,10.317625566737886,4.27216422636216e-05,1.0,4.27216422636216e-05,10.317625566737886,s-sym,,,,,,,,,,,,,,
4850,343.64306645861114,0.3798450163869802,373.9477445783625,0.24524594224580976,0.3718874011910357,-0.3831612298853767,-11924.59684525005,40391.03547142991,926.058282493831,892.5041536213815,-0.010662364315386093,-0.0042998418075593774,-0.001962996391828589,0.4411594017897577,0.02911164531686282,0.14655173560081375,True,-1.4968249022883724e-05,193.58753110219882,-2.026024486116441e-06,151.53385884078483,609.0560729729333,15.271549533714506,8.122836006390159e-05,1.0,8.122836006390159e-05,15.271549533714506,s-sym,,,,,,,,,,,,,,
4902,505.05806885346084,-0.3619838541062759,-561.8368260733444,0.3767647391576127,0.3564847497941844,-0.5732672726851851,-67641.5674362231,95154.05947913883,506.5469774143243,2304.9731936092444,-0.01457856037565818,-0.009308901934235224,-0.00352462491699274,0.4989977151290004,-0.006423357998984747,0.14629529683108453,True,-9.07627966526014e-05,343.1603400787087,-3.185691041414547e-06,293.63916094272554,914.7912671618296,16.144185541196975,8.205778889914385e-05,1.0,8.205778889914385e-05,16.144185541196975,s-sym,,,,,,,,,,,,,,
3113,467.8618926264346,0.3857577514975432,506.3765765018772,0.3664287216295645,0.37072491148215786,-0.5683349480645336,-50654.566840421925,77835.60526982244,571.6316294804582,1929.5629812169204,-0.013694604848531652,-0.008831554151936727,-0.0034862608387934303,0.4940352198908369,-0.002041263473549465,0.1486091179373389,True,-1.492557708478635e-05,301.20116049331125,2.181250899807948e-05,254.59009348543628,814.6919668228958,15.847384157410715,8.72616874004783e-05,1.0,8.72616874004783e-05,15.847384157410715,s-sym,,,,,,,,,,,,,,
4546,205.64942072422141,-0.31007617553095024,-217.23597424755496,0.14953709963464387,0.4218026954480809,-0.14475967021627792,5648.396844509967,15518.225446153583,1082.6475379864903,269.8714449310908,-0.010574400520614808,0.004172780575285546,-0.001084355373015025,0.4032383788037205,0.08132406215930724,0.137116978599817,True,-1.4465072673791047e-06,88.18885428757667,6.59719479138253e-05,39.25359859617793,378.9887491530398,15.930884139480955,9.117458811778672e-05,1.0,9.117458811778672e-05,15.930884139480955,s-sym,,,,,,,,,,,,,,
4574,362.96536640947966,0.31767501756586425,382.0215763776062,0.22251130148739684,0.4125536844565516,-0.36627185878598384,-13239.548389884241,49107.60291901843,975.794810998376,1209.0909242756302,-0.010732034103849784,-0.006681152017577311,-0.001405810326136426,0.4304958052063593,0.04209311131647391,0.1412157758424984,True,1.0497423080593455e-05,197.20735314752807,-4.478263892791279e-06,145.24894344647532,646.8027783274148,19.80174737561321,9.536548283268289e-05,1.0,9.536548283268289e-05,19.80174737561321,s-sym,,,,,,,,,,,,,,
